frequency_mhz,eval_tokens,eval_time_s,min_power_w,max_power_w,avg_power_w,median_power_w,energy_j
1395,1024,12.890347645,119.25,215.96,211.8885185185185,215.48,2710.7626503801343
1410,1024,12.801188569,102.77,218.47,213.20777777777778,217.82,2729.643819750547
1425,1024,12.736135225,130.67,220.08,214.82738317757008,219.51,2725.3022916519644
1440,1024,12.687781528,126.64,220.93,215.09728971962616,220.63,2730.4064252173907
1455,1024,12.611851326,141.25,223.15,218.5370754716981,222.79,2738.8690199911593
1470,1024,12.534145976,104.15,225.88,220.76380952380953,225.19,2758.2185479891314
1485,1024,12.464045489,126.93,228.56,222.36980952380952,228.09,2766.31017178297
1500,1024,12.404295217,104.49,230.38,225.07115384615383,229.86,2778.926615076066
1515,1024,12.391022363,137.49,232.39,226.6241346153846,231.71,2794.971019891501
1530,1024,12.329366043,121.26,234.71,228.39740384615385,233.89,2820.942408300637
1545,1024,12.278377716,107.97,237.07,230.7209708737864,236.53,2815.162765469552
1560,1024,12.233175321,108.78,238.67,231.1811650485437,238.22,2826.3024465870863
1575,1024,12.191136025,125.09,241.43,235.39970873786407,241.05,2869.3124401044847
1590,1024,12.143090445,129.6,244.33,238.77127450980393,243.63,2882.322158536911
1605,1024,12.117136701,134.7,247.95,240.80107843137256,247.265,2912.852059520482
1620,1024,12.073649767,158.13,251.4,245.84762376237623,250.79,2944.4312126135815
1635,1024,12.038462151,108.81,256.63,249.12554455445544,254.49,2983.438927671909
1650,1024,11.999124775,120.68,259.9,251.19178217821784,258.87,3007.3221876835833
1665,1024,11.955307446,110.04,264.85,255.10346534653465,263.6,3054.3915654575826
1680,1024,11.932083566,137.77,267.72,258.88326732673266,266.23,3092.732409310341
1695,1024,11.89089643,113.88,271.34,261.7806,270.75,3114.979487558604
1710,1024,11.859686045,112.58,276.89,267.797,276.11,3179.8448571848867
1725,1024,11.830828521,112.72,281.13,272.1787,279.83,3223.5656835293757
1740,1024,11.809003026,161.28,284.23,276.5931313131313,283.53,3246.528427033424
1755,1024,11.770784345,153.08,290.66,281.77858585858587,289.89,3297.514198478459
1770,1024,11.749590451,153.69,295.1,285.8209090909091,294.23,3348.500944060087
1785,1024,11.725270411,155.81,301.84,292.16212121212124,300.82,3427.306851906776
1800,1024,11.697774919,157.46,306.5,296.42373737373737,305.79,3465.8162279295934
1815,1024,11.672508071,175.84,311.84,303.09244897959184,310.59,3508.365834708214
1830,1024,11.646624792,124.97,317.93,307.61061224489794,317.12,3578.5423282897486
1845,1024,11.625635376,149.76,323.84,313.5704081632653,322.675,3637.441418780087
1860,1024,11.593183993,122.88,335.19,323.01214285714286,333.31,3750.164893285036
1875,1024,11.570027521,124.36,339.05,329.4018556701031,338.22,3793.1315817511086
1890,1024,11.582680628,164.56,339.18,329.91907216494843,338.55,3794.2239966082566
1905,1024,11.581976505,178.9,339.12,331.0161855670103,338.55,3804.6129623067363
