frequency_mhz,eval_tokens,eval_time_s,min_power_w,max_power_w,avg_power_w,median_power_w,energy_j
1230,1024,13.536746872,127.31,204.57,201.15428571428572,204.19,2726.753237268924
1245,1024,13.436284129,134.77,205.26,202.52423423423423,204.79,2715.8823310935504
1260,1024,13.407637446,146.27,203.69,201.62136363636364,203.365,2682.473128525018
1275,1024,13.340280235,131.3,204.53,201.40509090909092,203.945,2680.372927402258
1290,1024,13.235977736,132.94,206.09,203.12119266055046,205.7,2674.1099713146677
1305,1024,13.154963977,129.6,208.39,205.26935185185187,207.945,2684.8471349978445
1320,1024,13.074722003,136.32,210.38,207.27787037037038,209.84,2710.888973280192
1335,1024,12.999121502,137.17,212.45,209.38467289719625,211.98,2709.2955473971365
1350,1024,12.962708227,134.58,212.47,209.46672897196262,212.06,2716.5249587786197
1365,1024,12.887760672,134.75,214.65,211.28783018867924,214.01999999999998,2711.101076444388
1380,1024,12.809608287,145.83,216.42,213.35695238095238,215.83,2712.6765443003173
1395,1024,12.744011347,140.63,218.73,215.5447619047619,218.28,2742.9439790427696
1410,1024,12.677310119,135.26,220.64,217.21451923076924,220.12,2737.5523773872865
1425,1024,12.600117755,139.51,222.75,219.51903846153846,222.39,2765.0694683504107
1440,1024,12.527317514,138.71,224.6,220.9298058252427,224.19,2753.333212637901
1455,1024,12.489140657,146.07,225.78,222.42601941747571,225.34,2769.8741115808475
1470,1024,12.413948667,143.18,228.15,224.53676470588235,227.575,2772.632847721575
1485,1024,12.359720863,149.59,229.96,226.54901960784315,229.46499999999997,2796.3956237661846
1500,1024,12.30321113,147.74,232.66,228.93772277227723,232.04,2802.9961688518515
1515,1024,12.259721282,145.06,234.74,230.59485148514852,234.05,2830.5270405197134
1530,1024,12.207009161,146.8,237.16,233.3567,236.5,2827.474584647416
1545,1024,12.155314499,151.63,239.25,235.4178,238.585,2853.988940271139
1560,1024,12.115804488,147.21,241.94,237.4615,241.19,2876.1192145180707
1575,1024,12.083800938,144.3,244.67,240.4438383838384,243.98,2885.5284258687493
1590,1024,12.044115413,148.88,247.64,243.78424242424242,247.18,2929.4054196047787
1605,1024,12.005175217,160.6,251.17,247.14828282828282,250.46,2963.1284181106084
1620,1024,11.963326136,139.76,253.57,248.11444444444444,252.85,2972.9387340712547
1635,1024,11.922988609,165.36,258.96,254.46091836734695,257.995,3013.5305964839454
1650,1024,11.890620696,160.03,261.9,257.46,261.33,3058.089270217419
1665,1024,11.86362534,165.76,267.74,261.8779381443299,265.57,3083.711571819781
1680,1024,11.824328663,162.2,271.61,266.05381443298967,269.91,3129.140635761022
1695,1024,11.797445012,172.04,274.69,269.8512371134021,273.68,3164.9425572657588
1710,1024,11.766874712,157.65,280.36,274.59257731958763,279.27,3226.53656359434
1725,1024,11.724676275,166.24,284.48,279.14447916666666,283.875,3247.3798841536045
1740,1024,11.717344674,169.9,288.49,282.92270833333333,287.515,3289.930247181655
1755,1024,11.680583023,175.35,294.81,289.0965625,293.78,3363.5577977514254
1770,1024,11.649795335,180.25,298.52,292.64729166666666,297.2,3406.049849468468
1785,1024,11.617020552,164.48,305.7,298.3101041666667,304.77,3467.399299036265
1800,1024,11.595771111,198.57,310.62,305.28242105263155,309.37,3519.410371104479
1815,1024,11.578655568,187.4,316.08,309.76863157894735,314.65,3566.624847978355
1830,1024,11.5505177,187.83,323.02,316.2432631578947,321.97,3631.483981187344
1845,1024,11.531017061,181.94,331.32,324.25273684210526,329.9,3729.6346085882187
1860,1024,11.501758285,170.14,338.73,329.82515789473683,337.41,3800.563310786486
1875,1024,11.489826171,163.81,339.42,331.52,338.56,3816.7378244066244
1890,1024,11.494509731,171.78,339.31,331.9201052631579,338.6,3816.767459253073
